"Series ID","Date","Value","Annual Percent Change"
"CES0500000003","August 1 2025","36.53","3.7"
"CES0500000003","July 1 2025","36.43","3.9"
"CES0500000003","June 1 2025","36.31","3.7"
"CES0500000003","May 1 2025","36.23","3.8"
"CES0500000003","April 1 2025","36.08","3.8"
"CES0500000003","March 1 2025","36.02","3.9"
"CES0500000003","February 1 2025","35.90","3.9"
"CES0500000003","January 1 2025","35.83","3.9"
"CES0500000003","December 1 2024","35.68","4.0"
"CES0500000003","November 1 2024","35.61","4.2"
"CES0500000003","October 1 2024","35.48","4.1"
"CES0500000003","September 1 2024","35.33","3.9"
"CES0500000003","August 1 2024","35.23","4.0"
"CES0500000003","July 1 2024","35.07","3.6"
"CES0500000003","June 1 2024","35.00","3.9"
"CES0500000003","May 1 2024","34.89","4.1"
"CES0500000003","April 1 2024","34.75","4.0"
"CES0500000003","March 1 2024","34.67","4.2"
"CES0500000003","February 1 2024","34.54","4.2"
"CES0500000003","January 1 2024","34.47","4.3"
"CES0500000003","December 1 2023","34.31","4.1"
"CES0500000003","November 1 2023","34.19","4.1"
"CES0500000003","October 1 2023","34.07","4.2"
"CES0500000003","September 1 2023","33.99","4.4"
"CES0500000003","August 1 2023","33.89","4.5"
"CES0500000003","July 1 2023","33.84","4.6"
"CES0500000003","June 1 2023","33.69","4.6"
"CES0500000003","May 1 2023","33.52","4.4"
"CES0500000003","April 1 2023","33.42","4.6"
"CES0500000003","March 1 2023","33.28","4.6"
"CES0500000003","February 1 2023","33.16","4.7"
"CES0500000003","January 1 2023","33.05","4.5"
"CES0500000003","December 1 2022","32.96","4.9"
"CES0500000003","November 1 2022","32.84","5.1"
"CES0500000003","October 1 2022","32.70","5.0"
"CES0500000003","September 1 2022","32.55","5.1"
"CES0500000003","August 1 2022","32.44","5.4"
"CES0500000003","July 1 2022","32.35","5.5"
"CES0500000003","June 1 2022","32.20","5.4"
"CES0500000003","May 1 2022","32.10","5.6"
"CES0500000003","April 1 2022","31.96","5.7"
"CES0500000003","March 1 2022","31.82","5.9"
"CES0500000003","February 1 2022","31.66","5.3"
"CES0500000003","January 1 2022","31.62","5.7"
"CES0500000003","December 1 2021","31.41","5.0"
"CES0500000003","November 1 2021","31.25","5.4"
"CES0500000003","October 1 2021","31.15","5.4"
"CES0500000003","September 1 2021","30.96","4.9"
"CES0500000003","August 1 2021","30.79","4.4"
"CES0500000003","July 1 2021","30.66","4.3"
"CES0500000003","June 1 2021","30.55","4.0"
"CES0500000003","May 1 2021","30.41","2.3"
"CES0500000003","April 1 2021","30.23","0.6"
"CES0500000003","March 1 2021","30.04","4.5"
"CES0500000003","February 1 2021","30.07","5.4"
"CES0500000003","January 1 2021","29.92","5.2"
"CES0500000003","December 1 2020","29.91","5.4"
"CES0500000003","November 1 2020","29.64","4.6"
"CES0500000003","October 1 2020","29.55","4.7"
"CES0500000003","September 1 2020","29.51","4.8"
"CES0500000003","August 1 2020","29.50","4.8"
"CES0500000003","July 1 2020","29.39","4.9"
"CES0500000003","June 1 2020","29.38","5.1"
"CES0500000003","May 1 2020","29.72","6.6"
"CES0500000003","April 1 2020","30.04","8.1"
"CES0500000003","March 1 2020","28.74","3.5"
"CES0500000003","February 1 2020","28.54","3.1"
"CES0500000003","January 1 2020","28.43","3.0"
"CES0500000003","December 1 2019","28.38","3.0"
"CES0500000003","November 1 2019","28.34","3.3"
"CES0500000003","October 1 2019","28.23","3.1"
"CES0500000003","September 1 2019","28.16","3.1"
"CES0500000003","August 1 2019","28.14","3.4"
"CES0500000003","July 1 2019","28.03","3.4"
"CES0500000003","June 1 2019","27.96","3.4"
"CES0500000003","May 1 2019","27.88","3.3"
"CES0500000003","April 1 2019","27.79","3.3"
"CES0500000003","March 1 2019","27.77","3.4"
"CES0500000003","February 1 2019","27.69","3.6"
"CES0500000003","January 1 2019","27.59","3.3"
"CES0500000003","December 1 2018","27.56","3.5"
"CES0500000003","November 1 2018","27.44","3.4"
"CES0500000003","October 1 2018","27.37","3.3"
"CES0500000003","September 1 2018","27.32","3.1"
"CES0500000003","August 1 2018","27.21","3.2"
"CES0500000003","July 1 2018","27.10","2.8"
"CES0500000003","June 1 2018","27.03","2.9"
"CES0500000003","May 1 2018","26.98","2.9"
"CES0500000003","April 1 2018","26.91","2.8"
"CES0500000003","March 1 2018","26.85","2.8"
"CES0500000003","February 1 2018","26.74","2.6"
"CES0500000003","January 1 2018","26.72","2.8"
"CES0500000003","December 1 2017","26.63","2.7"
"CES0500000003","November 1 2017","26.54","2.5"
"CES0500000003","October 1 2017","26.50","2.3"
"CES0500000003","September 1 2017","26.49","2.8"
"CES0500000003","August 1 2017","26.37","2.6"
"CES0500000003","July 1 2017","26.35","2.6"
"CES0500000003","June 1 2017","26.26","2.5"
"CES0500000003","May 1 2017","26.21","2.5"
"CES0500000003","April 1 2017","26.17","2.5"
"CES0500000003","March 1 2017","26.11","2.6"
"CES0500000003","February 1 2017","26.07","2.7"
"CES0500000003","January 1 2017","26.00","2.5"
"CES0500000003","December 1 2016","25.93","2.7"
"CES0500000003","November 1 2016","25.90","2.6"
"CES0500000003","October 1 2016","25.90","2.8"
"CES0500000003","September 1 2016","25.77","2.6"
"CES0500000003","August 1 2016","25.71","2.5"
"CES0500000003","July 1 2016","25.69","2.7"
"CES0500000003","June 1 2016","25.62","2.6"
"CES0500000003","May 1 2016","25.58","2.4"
"CES0500000003","April 1 2016","25.53","2.6"
"CES0500000003","March 1 2016","25.45","2.4"
"CES0500000003","February 1 2016","25.38","2.3"
"CES0500000003","January 1 2016","25.37","2.5"
"CES0500000003","December 1 2015","25.25","2.5"
"CES0500000003","November 1 2015","25.25","2.4"
"CES0500000003","October 1 2015","25.20","2.5"
"CES0500000003","September 1 2015","25.11","2.3"
"CES0500000003","August 1 2015","25.09","2.2"
"CES0500000003","July 1 2015","25.01","2.2"
"CES0500000003","June 1 2015","24.97","2.1"
"CES0500000003","May 1 2015","24.97","2.3"
"CES0500000003","April 1 2015","24.89","2.3"
